{'Team': 4, 'Weight': 45, 'Language': 'Other', 'Drivebase': 'Mecanum', 'Wheels': 4, 'Sims': 0, 'Neos': 1, 'StartLevel': 1, 'Vision': 1, 'Autonomous': 0, 'LoadHatch': 0, 'PickUpHatch': 0, 'CargoShipHatch': 0, 'RocketL1Hatch': 0, 'RocketL2Hatch': 0, 'RocketL3Hatch': 0, 'LoadCargo': 1, 'PickUpCargo': 0, 'CargoShipCargo': 1, 'RocketL1Cargo': 1, 'RocketL2Cargo': 1, 'RocketL3Cargo': 0, 'ClimbLevel': 1, 'CoopClimb': 0, 'SIMs': 2}
{'Team': 5, 'Weight': 172, 'Language': 'Java', 'Drivebase': 'Other', 'Wheels': 3, 'Sims': 0, 'Neos': 2, 'StartLevel': 1, 'Vision': 0, 'Autonomous': 1, 'LoadHatch': 0, 'PickUpHatch': 0, 'CargoShipHatch': 0, 'RocketL1Hatch': 0, 'RocketL2Hatch': 0, 'RocketL3Hatch': 0, 'LoadCargo': 1, 'PickUpCargo': 0, 'CargoShipCargo': 1, 'RocketL1Cargo': 1, 'RocketL2Cargo': 0, 'RocketL3Cargo': 0, 'ClimbLevel': 1, 'CoopClimb': 0, 'SIMs': 3}
{'Team': 6, 'Weight': 10, 'Language': 'LabVIEW', 'Drivebase': 'Other', 'Wheels': 0, 'Sims': 0, 'Neos': 0, 'StartLevel': 1, 'Vision': 1, 'Autonomous': 0, 'LoadHatch': 0, 'PickUpHatch': 0, 'CargoShipHatch': 0, 'RocketL1Hatch': 0, 'RocketL2Hatch': 0, 'RocketL3Hatch': 0, 'LoadCargo': 0, 'PickUpCargo': 0, 'CargoShipCargo': 0, 'RocketL1Cargo': 0, 'RocketL2Cargo': 0, 'RocketL3Cargo': 0, 'ClimbLevel': 1, 'CoopClimb': 0, 'SIMs': 0}
{'Team': 8, 'Weight': 120, 'Language': 'LabVIEW', 'Drivebase': 'Swerve', 'Wheels': 4, 'Sims': 0, 'Neos': 3, 'StartLevel': 2, 'Vision': 1, 'Autonomous': 0, 'LoadHatch': 1, 'PickUpHatch': 0, 'CargoShipHatch': 1, 'RocketL1Hatch': 1, 'RocketL2Hatch': 1, 'RocketL3Hatch': 1, 'LoadCargo': 1, 'PickUpCargo': 1, 'CargoShipCargo': 1, 'RocketL1Cargo': 1, 'RocketL2Cargo': 1, 'RocketL3Cargo': 0, 'ClimbLevel': 2, 'CoopClimb': 0, 'SIMs': 4}
{'Team': 9, 'Weight': 75, 'Language': '', 'Drivebase': 'Mecanum', 'Wheels': 4, 'Sims': 0, 'Neos': 1, 'StartLevel': 1, 'Vision': 0, 'Autonomous': 1, 'LoadHatch': 1, 'PickUpHatch': 0, 'CargoShipHatch': 1, 'RocketL1Hatch': 1, 'RocketL2Hatch': 0, 'RocketL3Hatch': 0, 'LoadCargo': 0, 'PickUpCargo': 0, 'CargoShipCargo': 0, 'RocketL1Cargo': 0, 'RocketL2Cargo': 0, 'RocketL3Cargo': 0, 'ClimbLevel': 1, 'CoopClimb': 0, 'SIMs': 2}
{'Team': 10, 'Weight': 104, 'Language': 'LabVIEW', 'Drivebase': 'Mecanum', 'Wheels': 3, 'Sims': 0, 'Neos': 2, 'StartLevel': 1, 'Vision': 0, 'Autonomous': 1, 'LoadHatch': 1, 'PickUpHatch': 0, 'CargoShipHatch': 1, 'RocketL1Hatch': 0, 'RocketL2Hatch': 1, 'RocketL3Hatch': 0, 'LoadCargo': 0, 'PickUpCargo': 1, 'CargoShipCargo': 0, 'RocketL1Cargo': 1, 'RocketL2Cargo': 0, 'RocketL3Cargo': 1, 'ClimbLevel': 1, 'CoopClimb': 0, 'SIMs': 3}
{'Team': 11, 'Weight': 122, 'Language': 'Java', 'Drivebase': 'West Coast', 'Wheels': 5, 'Sims': 0, 'Neos': 3, 'StartLevel': 2, 'Vision': 1, 'Autonomous': 0, 'LoadHatch': 1, 'PickUpHatch': 1, 'CargoShipHatch': 1, 'RocketL1Hatch': 1, 'RocketL2Hatch': 1, 'RocketL3Hatch': 1, 'LoadCargo': 0, 'PickUpCargo': 0, 'CargoShipCargo': 0, 'RocketL1Cargo': 0, 'RocketL2Cargo': 0, 'RocketL3Cargo': 0, 'ClimbLevel': 2, 'CoopClimb': 0, 'SIMs': 6}
{'Team': 12, 'Weight': 57, 'Language': 'CPP', 'Drivebase': 'Swerve', 'Wheels': 4, 'Sims': 0, 'Neos': 3, 'StartLevel': 2, 'Vision': 0, 'Autonomous': 1, 'LoadHatch': 0, 'PickUpHatch': 0, 'CargoShipHatch': 0, 'RocketL1Hatch': 0, 'RocketL2Hatch': 0, 'RocketL3Hatch': 0, 'LoadCargo': 1, 'PickUpCargo': 1, 'CargoShipCargo': 1, 'RocketL1Cargo': 1, 'RocketL2Cargo': 1, 'RocketL3Cargo': 1, 'ClimbLevel': 3, 'CoopClimb': 0, 'SIMs': 4}
{'Team': 1, 'Weight': 111, 'Language': 'CPP', 'Drivebase': 'West Coast', 'Wheels': 6, 'Sims': 0, 'Neos': 0, 'StartLevel': 1, 'Vision': 1, 'Autonomous': 1, 'LoadHatch': 1, 'PickUpHatch': 1, 'CargoShipHatch': 1, 'RocketL1Hatch': 1, 'RocketL2Hatch': 1, 'RocketL3Hatch': 1, 'LoadCargo': 1, 'PickUpCargo': 1, 'CargoShipCargo': 1, 'RocketL1Cargo': 1, 'RocketL2Cargo': 1, 'RocketL3Cargo': 1, 'ClimbLevel': 3, 'CoopClimb': 0, 'SIMs': 6}
{'Team': 2, 'Weight': 125, 'Language': 'Java', 'Drivebase': 'Swerve', 'Wheels': 4, 'Sims': 0, 'Neos': 3, 'StartLevel': 2, 'Vision': 1, 'Autonomous': 0, 'LoadHatch': 1, 'PickUpHatch': 0, 'CargoShipHatch': 1, 'RocketL1Hatch': 1, 'RocketL2Hatch': 1, 'RocketL3Hatch': 1, 'LoadCargo': 0, 'PickUpCargo': 0, 'CargoShipCargo': 0, 'RocketL1Cargo': 0, 'RocketL2Cargo': 0, 'RocketL3Cargo': 0, 'ClimbLevel': 1, 'CoopClimb': 0, 'SIMs': 4}
{'Team': 3, 'Weight': 84, 'Language': 'LabVIEW', 'Drivebase': 'West Coast', 'Wheels': 4, 'Sims': 0, 'Neos': 3, 'StartLevel': 1, 'Vision': 0, 'Autonomous': 1, 'LoadHatch': 1, 'PickUpHatch': 0, 'CargoShipHatch': 1, 'RocketL1Hatch': 1, 'RocketL2Hatch': 1, 'RocketL3Hatch': 0, 'LoadCargo': 1, 'PickUpCargo': 0, 'CargoShipCargo': 1, 'RocketL1Cargo': 1, 'RocketL2Cargo': 1, 'RocketL3Cargo': 0, 'ClimbLevel': 2, 'CoopClimb': 0, 'SIMs': 4}
